"","gene_id","gene_type","logFC","AveExpr"
"14541","ANP32C","processed_pseudogene",0.44981792652225605,0.0739725408539951
"14546","RNU6-668P","snRNA",0.3809440802009121,0.16983660836413503
"14099","RP11-214O14.1","processed_pseudogene",0.404279512682501,1.45653165012597
"14034","QRFPR","protein_coding",0.488619750044255,-1.7453031461411899
"9189","AC019068.2","antisense",0.332324200837872,1.16260316392312
"3525","OR10AE1P","unprocessed_pseudogene",0.32019029398321597,-1.3626722082199698
"11271","RP11-517B11.6","unprocessed_pseudogene",0.378185159596748,-1.48449477144638
"14945","CTD-2194D22.1","antisense",0.40617611852242297,-1.57088069785401
"9527","GRIP2","protein_coding",0.38259805040728295,1.27607453866021
"5970","THUMPD2","protein_coding",0.33099776823097105,-1.06041038834299
"11845","KRT8P13","processed_pseudogene",0.333480847907833,1.4735893496859598
"15792","RP11-83M16.4","processed_pseudogene",0.350729381191646,-0.565217605618872
"6215","SNORD78","snoRNA",0.315667144986971,1.12966074628185
"7389","AC009303.3","processed_pseudogene",0.649235461593516,-1.9530196745846498
"17836","RP1-140K8.1","lincRNA",0.324991053978402,1.7055083210233999
"15540","FGF10-AS1","antisense",0.30203294659127505,0.8895838672019399
"12780","RP11-380P13.1","antisense",0.31084441288597303,0.5455555833325579
"14544","RP11-294O2.1","processed_pseudogene",0.307143444813198,0.9475547175546171
"8596","RAPH1","protein_coding",0.31964956855115007,-0.214421593128382
"15544","RP11-53O19.1","antisense",0.294504794981438,0.0799067435255719
"18832","TBC1D22B","protein_coding",0.34271899722132304,-0.15332874235238297
"10224","GPR62","protein_coding",0.366114789813008,0.29764761259388
"9979","LARS2-AS1","antisense",0.34068258443999105,-0.955181888681376
"17887","Unknown","miRNA",0.273137048749457,0.5931950304498729
"18131","C6orf62","protein_coding",0.375596030840346,-1.2751520774303897
"10157","CTD-2330K9.3","antisense",0.405950325447342,-1.29803383842291
"4055","Unknown","rRNA_pseudogene",0.308945272067353,-1.4314073909098102
"18519","XXbac-BPG299F13.15","unprocessed_pseudogene",0.33981910502350204,0.813700146036113
"12042","CYP2AB1P","transcribed_unitary_pseudogene",0.259552460971446,-0.7318604854435942
"12265","RNU6ATAC24P","snRNA",-0.316612824752093,-1.24091376891747
"13564","RP11-576N17.2","processed_pseudogene",0.34424658950632,1.18100679508442
"14542","RP11-75A5.1","processed_pseudogene",0.28898628696665396,0.9637534049849549
"12770","RNU6-420P","snRNA",0.28405828183455395,-0.736589822470625
"9958","ZNF35","protein_coding",0.34717801824223304,-0.42850036503549604
"14566","RP11-366M4.17","processed_pseudogene",0.37468952216578105,-0.12942514122565502
"15465","LINC00603","lincRNA",0.252694551635774,-0.535953826912674
"15250","Y_RNA","misc_RNA",0.337943037221574,-1.2745927970378899
"11697","GFM1","protein_coding",0.290494501397552,3.8402373356669104
"11797","RNU2-20P","snRNA",0.28599891338401,3.4482701095769195
"11347","IL20RB","protein_coding",0.272108621459342,1.36671168564754
"18853","RP1-319M7.2","processed_pseudogene",0.4930592179507921,-1.44600790965359
"17665","RP11-443C10.2","lincRNA",0.6468807541313609,-2.17342823170939
"8315","AC080125.1","processed_pseudogene",0.222345073625716,4.08890160960259
"621","AKR7A3","protein_coding",0.25884148228063897,-0.27734879350919106
"14525","AC005150.1","lincRNA",0.295812444787725,-0.25017511933496805
"15889","RPL7P22","processed_pseudogene",0.34231683550476594,-0.566906433704992
"8703","HSPA8P6","processed_pseudogene",0.29635287946607597,1.2139621293488998
"3857","DNM3-IT1","sense_intronic",0.249841735331847,2.7727454774565095
"4184","Unknown","misc_RNA",0.281264406050096,1.33907145117347
"7789","AC010090.1","lincRNA",0.28270433407131,1.78064289610704
"17680","RP11-1379J22.5","antisense",0.29035932004183196,0.40657558249504105
"14788","RP11-714G18.1","antisense",0.24529521474004,0.781992260403395
"18723","RN7SL26P","misc_RNA",0.24849003890077803,1.7454492047046501
"13318","RP13-644M16.5","unprocessed_pseudogene",0.332236472695574,-1.5799528606513797
"3659","SLAMF6P1","unprocessed_pseudogene",0.29477138600594605,-0.802685828847038
"1860","RNU6-1176P","snRNA",0.252258312185585,2.11738010917208
"10400","LINC00698","lincRNA",0.279978201638775,12.0156852824614
"7625","MTND1P26","unprocessed_pseudogene",0.343811280449766,-0.0285309872862329
"15063","SNHG18","lincRNA",0.254652000460037,0.899935098582737
"10506","RP11-654C22.2","lincRNA",0.351980730586428,-0.40485104128490396
"12965","UCHL1","protein_coding",0.35286635751973205,-1.03063018155392
"18833","Unknown","processed_pseudogene",0.3587423958795711,-0.0162932516021306
"11624","Unknown","TEC",0.278884212714655,-1.0140574448656898
"9528","RNU6-905P","snRNA",0.330447972012655,0.879214562743717
"18725","BAK1","protein_coding",0.234299580646816,2.14100464449166
"15879","MIR4803","miRNA",0.258465262933703,1.14929108923191
"1440","RP5-882O7.4","processed_pseudogene",0.26182924358456,0.536861305890766
"6340","AC007365.4","processed_pseudogene",0.264978858422694,-0.853756281440347
"6571","HK2","protein_coding",0.568115416382197,-1.32827761667853
"15035","RP11-480D4.2","lincRNA",0.276192706831172,3.6629535554707497
"10039","ELP6","protein_coding",0.266964620627353,1.5742095402066
"15876","Unknown","processed_pseudogene",0.330242248410465,-0.0554328080591542
"115","VWA1","protein_coding",0.22675515522438697,0.45359277073487
"14695","RP11-376O6.2","antisense",0.247600543834075,-0.38234678047139503
"8097","RNU6-182P","snRNA",0.524620505763618,-1.6294489545987498
"18704","PFDN6","protein_coding",0.195306479297251,1.0199835256503
"7133","Unknown","TEC",0.250021261613055,-0.549272373386282
"12651","MIR3138","miRNA",0.29439756704389597,0.19100901863486
"4087","RNA5SP72","rRNA_pseudogene",0.281340866085753,-1.2789506216381101
"13002","RN7SL193P","misc_RNA",0.52198297367988,-0.603600270398157
"1178","RNA5SP43","rRNA_pseudogene",0.20884397856072,3.35311492765463
"2552","Y_RNA","misc_RNA",0.278059096258456,0.850219254203712
"11509","RP11-501O2.5","lincRNA",0.252685271119026,1.8106231583069599
"434","PRAMEF12","protein_coding",0.256963604737588,-1.3771642434478402
"5746","PREB","protein_coding",0.29357786905962896,-0.699814185912287
"5244","OR3D1P","unprocessed_pseudogene",0.288383156423733,1.24958250989554
"8284","AC013733.3","antisense",0.30016083255016995,-1.4106679549948502
"5642","RNA5SP87","rRNA_pseudogene",0.264872392494579,0.0385821054055317
"1441","MRPS17P1","processed_pseudogene",0.24178587199963503,1.4065145651621203
"12781","RP11-380P13.2","lincRNA",0.281733121394995,1.71173880786066
"790","RNU6-1208P","snRNA",0.280388627495659,-1.3625265160905
"14506","C4orf45","protein_coding",0.37599648515841705,-0.7580507695897319
"14549","RP11-366M4.2","processed_pseudogene",0.30390066790493,-1.00999643390035
"14696","AGA","protein_coding",0.240309010254873,0.110016233161557
"16848","KDM3B","protein_coding",0.242782057563174,0.861453983451328
"9526","SLC6A6","protein_coding",0.354269523896203,-1.46554457370792
"14565","RP11-366M4.15","processed_pseudogene",0.28115871840654305,4.21839324052846
"4327","RP11-480I12.4","transcribed_unitary_pseudogene",0.21210955489982602,0.8683969869941289
"6968","AC012307.2","lincRNA",0.23612557108340698,0.566739772784965
"10741","TMEM45A","protein_coding",0.21794480025009,0.9395231803425179
"16941","VTRNA1-3","misc_RNA",0.278972629076613,-0.745805992030805
"15627","RP11-506H20.1","antisense",0.224774232447034,4.82656822980545
"9688","ZCWPW2","protein_coding",0.223099441360012,3.6000588169974397
"9190","RPL3P5","transcribed_processed_pseudogene",0.301927367123606,0.131654971211052
"9525","RNA5SP124","rRNA_pseudogene",0.270374014647299,1.5417786604298
"2881","Unknown","lincRNA",0.217955045964785,-0.13922468112520997
"15280","CTD-2194F12.1","processed_pseudogene",0.32300656711319203,-0.488295700384084
"3162","AL589986.2","antisense",0.27071584324042997,-0.671207010722183
"8078","AC007405.4","lincRNA",0.225904837051562,-1.09295500703873
